# adapted from https://github.com/sandavid/paris-metro-map/blob/master/Connexions_IDF.csv

B4;La Croix Berny;Parc de Sceaux
B4;Parc de Sceaux;La Croix Berny
B4;Parc de Sceaux;Bourg la Reine
B4;Bourg la Reine;Parc de Sceaux

B2;Robinson;Fontenay aux Roses
B2;Fontenay aux Roses;Robinson
B2;Fontenay aux Roses;Sceaux
B2;Sceaux;Fontenay aux Roses
B2;Sceaux;Bourg la Reine
B2;Bourg la Reine;Sceaux

B;Bourg la Reine;Bagneux
B;Bagneux;Bourg la Reine
B;Bagneux;Arcueil Cachan
B;Arcueil Cachan;Bagneux
B;Arcueil Cachan;Laplace
B;Laplace;Arcueil Cachan
B;Laplace;Gentilly
B;Gentilly;Laplace
B;Gentilly;Cite Universitaire
B;Cite Universitaire;Gentilly
B;Cite Universitaire;Denfert Rochereau
B;Denfert Rochereau;Cite Universitaire
B;Denfert Rochereau;Port Royal
B;Port Royal;Denfert Rochereau
B;Port Royal;Luxembourg
B;Luxembourg;Port Royal
B;Luxembourg;St Michel Notre Dame
B;St Michel Notre Dame;Luxembourg
B;St Michel Notre Dame;Chatelet Les Halles
B;Chatelet Les Halles;St Michel Notre Dame
B;Chatelet Les Halles;Gare du Nord
B;Gare du Nord;Chatelet Les Halles
B;Gare du Nord;La Plaine Stade de France
B;La Plaine Stade de France;Gare du Nord
B;La Plaine Stade de France;La Courneuve Aubervilliers
B;La Courneuve Aubervilliers;La Plaine Stade de France
B;La Courneuve Aubervilliers;Le Bourget
B;Le Bourget;La Courneuve Aubervilliers
B;Le Bourget;Drancy
B;Drancy;Le Bourget
B;Drancy;Le Blanc Mesnil
B;Le Blanc Mesnil;Drancy
B;Le Blanc Mesnil;Aulnay sous Bois
B;Aulnay sous Bois;Le Blanc Mesnil

W;Gare du Nord;La Chapelle
W;La Chapelle;Gare du Nord
W;Gare du Nord;Magenta
W;Magenta;Gare du Nord
W;Gare de l'Est;Magenta
W;Magenta;Gare de l'Est

W;Cluny.La Sorbonne;St Michel Notre Dame
W;St Michel Notre Dame;Cluny.La Sorbonne
W;Saint Michel;St Michel Notre Dame
W;St Michel Notre Dame;Saint Michel

B3;Aeroport Charles de Gaulle-2;Aeroport Charles de Gaulle-1
B3;Aeroport Charles de Gaulle-1;Aeroport Charles de Gaulle-2
B3;Aeroport Charles de Gaulle-1;Parc des Expositions
B3;Parc des Expositions;Aeroport Charles de Gaulle-1
B3;Parc des Expositions;Villepinte
B3;Villepinte;Parc des Expositions
B3;Villepinte;Sevran Beaudottes
B3;Sevran Beaudottes;Villepinte
B3;Sevran Beaudottes;Aulnay sous Bois
B3;Aulnay sous Bois;Sevran Beaudottes

B5;Mitry Claye;Villeparisis Mitry le Neuf
B5;Villeparisis Mitry le Neuf;Mitry Claye
B5;Villeparisis Mitry le Neuf;Vert Galant
B5;Vert Galant;Villeparisis Mitry le Neuf
B5;Vert Galant;Sevran Livry
B5;Sevran Livry;Vert Galant
B5;Sevran Livry;Aulnay sous Bois
B5;Aulnay sous Bois;Sevran Livry

C1;Pontoise;St Ouen l'Aumone
C1;St Ouen l'Aumone;Pontoise
C1;St Ouen l'Aumone;St Ouen l'Aumone Liesse
C1;St Ouen l'Aumone Liesse;St Ouen l'Aumone
C1;St Ouen l'Aumone Liesse;Pierrelaye
C1;Pierrelaye;St Ouen l'Aumone Liesse
C1;Pierrelaye;Montigny Beauchamp
C1;Montigny Beauchamp;Pierrelaye
C1;Montigny Beauchamp;Franconville Le Plessis Bouchard
C1;Franconville Le Plessis Bouchard;Montigny Beauchamp
C1;Franconville Le Plessis Bouchard;Cernay
C1;Cernay;Franconville Le Plessis Bouchard
C1;Cernay;Ermont Eaubonne
C1;Ermont Eaubonne;Cernay
C1;Ermont Eaubonne;Saint Gratien
C1;Saint Gratien;Ermont Eaubonne
C1;Saint Gratien;Epinay sur Seine
C1;Epinay sur Seine;Saint Gratien
C1;Epinay sur Seine;Gennevilliers
C1;Gennevilliers;Epinay sur Seine
C1;Gennevilliers;Les Gresillions
C1;Les Gresillions;Gennevilliers
C1;Les Gresillions;Saint Ouen
C1;Saint Ouen;Les Gresillions
C1;Saint Ouen;Porte de Clichy
C1;Porte de Clichy;Saint Ouen
C1;Porte de Clichy;Pereire Levallois
C1;Pereire Levallois;Porte de Clichy
C1;Pereire Levallois;Neuilly Porte Maillot
C1;Neuilly Porte Maillot;Pereire Levallois
C1;Neuilly Porte Maillot;Avenue Foch
C1;Avenue Foch;Neuilly Porte Maillot
C1;Avenue Foch;Avenue Henri Martin
C1;Avenue Henri Martin;Avenue Foch
C1;Avenue Henri Martin;Boulainvilliers
C1;Boulainvilliers;Avenue Henri Martin
C1;Boulainvilliers;Av du Pdt Kennedy
C1;Av du Pdt Kennedy;Boulainvilliers
C1;Av du Pdt Kennedy;Champs de Mars Tour Eiffel
C1;Champs de Mars Tour Eiffel;Av du Pdt Kennedy

W;Boulainvilliers;La Muette
W;La Muette;Boulainvilliers
W;Neuilly Porte Maillot;Porte Maillot
W;Porte Maillot;Neuilly Porte Maillot
W;Pereire Levallois;Pereire
W;Pereire;Pereire Levallois

C7;St Quentin en Yvelines;Saint Cyr
C7;Saint Cyr;St Quentin en Yvelines
C7;Saint Cyr;Versailles Chantiers
C7;Versailles Chantiers;Saint Cyr
C7;Versailles Chantiers;Viroflay Rive Gauche
C7;Viroflay Rive Gauche;Versailles Chantiers

C5;Versailles Rive Gauche;Porchefontaine
C5;Porchefontaine;Versailles Rive Gauche
C5;Porchefontaine;Viroflay Rive Gauche
C5;Viroflay Rive Gauche;Porchefontaine

C57;Chaville Velisy;Viroflay Rive Gauche
C57;Viroflay Rive Gauche;Chaville Velisy
C57;Viroflay Rive Gauche;Meudon Val Fleury
C57;Meudon Val Fleury;Viroflay Rive Gauche
C57;Meudon Val Fleury;Issy
C57;Issy;Meudon Val Fleury
C57;Issy;Issy Val de Seine
C57;Issy Val de Seine;Issy
C57;Issy Val de Seine;Boulevard Victor
C57;Boulevard Victor;Issy Val de Seine
C57;Boulevard Victor;Javel
C57;Javel;Boulevard Victor
C57;Javel;Champs de Mars Tour Eiffel
C57;Champs de Mars Tour Eiffel;Javel

C;Choisy le Roy;Les Ardoines
C;Les Ardoines;Choisy le Roy
C;Les Ardoines;Vitry sur Seine
C;Vitry sur Seine;Les Ardoines
C;Vitry sur Seine;Ivry sur Seine
C;Ivry sur Seine;Vitry sur Seine
C;Ivry sur Seine;Bibliotheque Francois Mitterrand
C;Bibliotheque Francois Mitterrand;Ivry sur Seine
C;Bibliotheque Francois Mitterrand;Gare d'Austerlitz
C;Gare d'Austerlitz;Bibliotheque Francois Mitterrand
C;Gare d'Austerlitz;St Michel Notre Dame
C;St Michel Notre Dame;Gare d'Austerlitz
C;St Michel Notre Dame;Musee d'Orsay
C;Musee d'Orsay;St Michel Notre Dame
C;Musee d'Orsay;Invalides
C;Invalides;Musee d'Orsay
C;Invalides;Pont de l'Alma
C;Pont de l'Alma;Invalides
C;Pont de l'Alma;Champs de Mars Tour Eiffel
C;Champs de Mars Tour Eiffel;Pont de l'Alma

C2;Massy Palaiseau;Massy Verrieres
C2;Massy Verrieres;Massy Palaiseau
C2;Massy Verrieres;Chemin d'Antony
C2;Chemin d'Antony;Massy Verrieres
C2;Chemin d'Antony;Rungis la Fraternelle
C2;Rungis la Fraternelle;Chemin d'Antony
C2;Rungis la Fraternelle;Pont de Rungis Aeroport d'Orly
C2;Pont de Rungis Aeroport d'Orly;Rungis la Fraternelle
C2;Pont de Rungis Aeroport d'Orly;Orly Ville
C2;Orly Ville;Pont de Rungis Aeroport d'Orly
C2;Orly Ville;Les Saules
C2;Les Saules;Orly Ville
C2;Les Saules;Choisy le Roy
C2;Choisy le Roy;Les Saules

C468;Athis Mons;Ablon
C468;Ablon;Athis Mons
C468;Ablon;Villeneuve le Roi
C468;Villeneuve le Roi;Ablon
C468;Villeneuve le Roi;Choisy le Roy
C468;Choisy le Roy;Villeneuve le Roi

C46;Bretigny sur Orge;St Michel sur Orge
C46;St Michel sur Orge;Bretigny sur Orge
C46;St Michel sur Orge;St Genevieve des Bois
C46;St Genevieve des Bois;St Michel sur Orge
C46;St Genevieve des Bois;Epinay sur Orge
C46;Epinay sur Orge;St Genevieve des Bois
C46;Epinay sur Orge;Savigny sur Orge
C46;Savigny sur Orge;Epinay sur Orge
C46;Savigny sur Orge;Juvisy sur Orge
C46;Juvisy sur Orge;Savigny sur Orge
C46;Juvisy sur Orge;Athis Mons
C46;Athis Mons;Juvisy sur Orge

C8;Versailles Chantiers;Petit Jouy Les Loges
C8;Petit Jouy Les Loges;Versailles Chantiers
C8;Petit Jouy Les Loges;Jouy en josas
C8;Jouy en josas;Petit Jouy Les Loges
C8;Jouy en josas;Vauboyen
C8;Vauboyen;Jouy en josas
C8;Vauboyen;Bievres
C8;Bievres;Vauboyen
C8;Bievres;Igny
C8;Igny;Bievres
C8;Igny;Massy Palaiseau
C8;Massy Palaiseau;Igny
C8;Massy Palaiseau;Longjumeau
C8;Longjumeau;Massy Palaiseau
C8;Longjumeau;Chilly Mazarin
C8;Chilly Mazarin;Longjumeau
C8;Chilly Mazarin;Gravigny Balizy
C8;Gravigny Balizy;Chilly Mazarin
C8;Gravigny Balizy;Petit Vaux
C8;Petit Vaux;Gravigny Balizy
C8;Petit Vaux;Savigny sur Orge
C8;Savigny sur Orge;Petit Vaux

C4;Dourdan la foret;Dourdan
C4;Dourdan;Dourdan la foret
C4;Dourdan;Sermaise
C4;Sermaise;Dourdan
C4;Sermaise;St Cheron
C4;St Cheron;Sermaise
C4;St Cheron;Breuillet Village
C4;Breuillet Village;St Cheron
C4;Breuillet Village;Breullet Bruyeres le chatel
C4;Breullet Bruyeres le chatel;Breuillet Village
C4;Breullet Bruyeres le chatel;Egly
C4;Egly;Breullet Bruyeres le chatel
C4;Egly;Arpajon
C4;Arpajon;Egly
C4;Arpajon;La Norville St Germain Les Arpajon
C4;La Norville St Germain Les Arpajon;Arpajon
C4;La Norville St Germain Les Arpajon;Bretigny sur Orge
C4;Bretigny sur Orge;La Norville St Germain Les Arpajon

C6;St Martin d'Etampes;Etampes
C6;Etampes;St Martin d'Etampes
C6;Etampes;Etrechy
C6;Etrechy;Etampes
C6;Etrechy;Chamarande
C6;Chamarande;Etrechy
C6;Chamarande;Lardy
C6;Lardy;Chamarande
C6;Lardy;Bouray
C6;Bouray;Lardy
C6;Bouray;Marrolles en Hurepoix
C6;Marrolles en Hurepoix;Bouray
C6;Marrolles en Hurepoix;Bretigny sur Orge
C6;Bretigny sur Orge;Marrolles en Hurepoix

D1;Orry la Ville;La Borne Blanche
D1;La Borne Blanche;Orry la Ville
D1;La Borne Blanche;Survilliers Fosses
D1;Survilliers Fosses;La Borne Blanche
D1;Survilliers Fosses;Louvres
D1;Louvres;Survilliers Fosses
D1;Louvres;Les Noux
D1;Les Noux;Louvres
D1;Les Noux;Goussainville
D1;Goussainville;Les Noux
D1;Goussainville;Villiers le Bel Gonesse Amouville
D1;Villiers le Bel Gonesse Amouville;Goussainville
D1;Villiers le Bel Gonesse Amouville;Garges Sarcelles
D1;Garges Sarcelles;Villiers le Bel Gonesse Amouville
D1;Garges Sarcelles;Pierrefitte Stains
D1;Pierrefitte Stains;Garges Sarcelles
D1;Pierrefitte Stains;St Denis
D1;St Denis;Pierrefitte Stains
D1;St Denis;Stade de France St Denis
D1;Stade de France St Denis;St Denis
D1;Stade de France St Denis;Gare du Nord
D1;Gare du Nord;Stade de France St Denis
D1;Gare du Nord;Chatelet Les Halles
D1;Chatelet Les Halles;Gare du Nord
D1;Chatelet Les Halles;Gare de Lyon
D1;Gare de Lyon;Chatelet Les Halles
